instance,time,objective,dualbound
tree_lg_1_sol,7200,10, 0
tree_lg_2_sol,7200,8, 0
tree_lg_3_sol,7200,9, 0
tree_lg_4_sol,7200,9, 0
tree_lg_5_sol,7200,10, 0
tree_lg_6_sol,7200,10, 0
tree_lg_7_sol,7200,9, 0
tree_lg_8_sol,7200,8, 0
tree_lg_9_sol,7200,9, 0
tree_lg_10_sol,7200,10, 0
tree_lg_11_sol,7200,10, 0
tree_lg_12_sol,7200,10, 0
tree_lg_13_sol,7200,8, 0
tree_lg_14_sol,7200,9, 0
tree_lg_15_sol,7200,11, 0
tree_lg_16_sol,7200,10, 0
tree_lg_17_sol,7200,10, 0
tree_lg_18_sol,7200,9, 0
tree_lg_19_sol,7200,10, 0
tree_lg_20_sol,7200,10, 0
tree_lg_21_sol,7200,10, 0
tree_lg_22_sol,7200,9, 0
tree_lg_23_sol,7200,9, 0
tree_lg_24_sol,7200,10, 0
tree_lg_25_sol,7200,10, 0
voronoi_medium_lg_1_sol,7200,12, 0
voronoi_medium_lg_2_sol,7200,8, 0
voronoi_medium_lg_3_sol,7200,12, 0
voronoi_medium_lg_4_sol,7200,12, 0
voronoi_medium_lg_5_sol,7200,12, 0
voronoi_medium_lg_6_sol,7200,13, 0
voronoi_medium_lg_7_sol,7200,11, 0
voronoi_medium_lg_8_sol,7200,15, 0
voronoi_medium_lg_9_sol,7200,14, 0
voronoi_medium_lg_10_sol,7200,10, 0
voronoi_medium_lg_11_sol,7200,10, 0
voronoi_medium_lg_12_sol,7200,16, 0
voronoi_medium_lg_13_sol,7200,17, 0
voronoi_medium_lg_14_sol,7200,10, 0
voronoi_medium_lg_15_sol,7200,16, 0
voronoi_medium_lg_16_sol,7200,13, 0
voronoi_medium_lg_17_sol,7200,12, 0
voronoi_medium_lg_18_sol,7200,16, 0
voronoi_medium_lg_19_sol,7200,17, 0
voronoi_medium_lg_20_sol,7200,11, 0
voronoi_medium_lg_21_sol,7200,14, 0
voronoi_medium_lg_22_sol,7200,16, 0
voronoi_medium_lg_23_sol,7200,10, 0
voronoi_medium_lg_24_sol,7200,20, 0
voronoi_medium_lg_25_sol,7200,17, 0
voronoi_medium_lg_26_sol,7200,18, 0
voronoi_medium_lg_27_sol,7200,13, 0
voronoi_medium_lg_28_sol,7200,16, 0
voronoi_medium_lg_29_sol,7200,18, 0
voronoi_medium_lg_30_sol,7200,18, 0
voronoi_medium_lg_31_sol,7200,19, 0
voronoi_medium_lg_32_sol,7200,20, 0
voronoi_medium_lg_33_sol,7200,14, 0
voronoi_medium_lg_1_sol,7200,12, 0
voronoi_medium_lg_2_sol,7200,8, 0
voronoi_medium_lg_3_sol,7200,12, 0
voronoi_medium_lg_4_sol,7200,12, 0
voronoi_medium_lg_5_sol,7200,12, 0
voronoi_medium_lg_6_sol,7200,13, 0
voronoi_medium_lg_7_sol,7200,11, 0
voronoi_medium_lg_8_sol,7200,15, 0
voronoi_medium_lg_9_sol,7200,14, 0
voronoi_medium_lg_10_sol,7200,10, 0
voronoi_medium_lg_11_sol,7200,10, 0
voronoi_medium_lg_12_sol,7200,16, 0
voronoi_medium_lg_13_sol,7200,17, 0
voronoi_medium_lg_14_sol,7200,10, 0
voronoi_medium_lg_15_sol,7200,16, 0
voronoi_medium_lg_16_sol,7200,13, 0
voronoi_medium_lg_17_sol,7200,12, 0
